station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Einig Wood,57.94421601,-4.764511928,492363,38138,2025-05-24 01:00:00,6.8,6.8,10,66231010,1,6
Eliock,55.34583036,-3.899113859,115562,35808,2025-05-24 03:00:00,8,8,10,66020010,1,71
Eskdalemuir Observatory,55.31151326,-3.206798775,15100,36948,2025-05-24 00:00:00,5.2,5.2,10,66094010,1,21
Esslemont House,57.36510966,-2.112363417,115221,35536,2025-05-24 02:00:00,2.2,2.2,5,65975010,1,248
Ettrick Bay,55.85650223,-5.145834193,115563,35812,2025-05-24 03:00:00,16.4,16.4,20,66021010,1,212
Fife Airport,56.1816502,-3.222449068,15151,37016,2025-05-24 01:00:00,6.6,6.6,10,66100010,1,46
Flichity,57.33128618,-4.221750189,115339,35636,2025-05-24 02:00:00,5.2,5.2,10,65994010,1,119
Forehill,57.50635026,-1.843281987,336372,37758,2025-05-24 01:00:00,0.2,0.2,1,66184010,1,159
Forsinain,58.41100711,-3.873563607,115340,35640,2025-05-24 02:00:00,7.2,7.2,10,65995010,1,73
Forter,56.76674681,-3.332205729,14948,36658,2025-05-24 04:00:00,4.6,4.6,5,66077010,1,31
Fourmerkland,55.1650788,-3.412506453,115565,35816,2025-05-24 02:00:00,7.2,7.2,10,66022010,1,266
Frenich Farm,56.22694162,-4.56047225,552790,38398,2025-05-23 21:00:00,4.4,4.4,5,66256010,1,138
Gairnshiel,57.09199509,-3.165582141,115223,35540,2025-05-24 02:00:00,8.8,8.8,10,65976010,1,200
Gargunnock,56.13266077,-4.070571402,14892,36480,2025-05-24 01:00:00,6.2,6.2,10,66058010,1,126
Garls Craig,55.36599829,-3.616030256,301168,37570,2025-05-26 09:00:00,17.4,17.4,20,66073010,0,120
Garrogie Lodge,57.17006125,-4.442843871,464495,38046,2025-05-25 17:00:00,21.8,21.8,30,66218010,0,8
Gatelawbridge,55.25076797,-3.730683565,115568,35820,2025-05-24 02:00:00,10.2,10.2,20,66023010,1,255
Gella Bridge,56.77535832,-3.027929218,14916,36550,2025-05-24 04:00:00,5.4,5.4,10,66061010,1,90
Gifford Rain Gauge,55.89043578,-2.768969478,474984,38094,2025-05-24 01:00:00,5,5,5,66224010,1,221
Gilston,55.80025456,-2.883463821,15114,36968,2025-05-26 10:00:00,5.2,5.2,10,66097010,0,257
Gladhouse Reservoir,55.7784118,-3.117398754,15204,37080,2025-05-24 04:00:00,5.8,5.8,10,66112010,1,150
Glen Ample,56.35457736,-4.269993694,335745,37710,2025-05-24 04:00:00,8.2,8.2,10,66179010,1,118
Glen Nevis,56.79923208,-5.067543348,115343,35644,2025-05-24 02:00:00,10.2,10.2,20,65996010,1,93
Glen Strae,56.42522107,-5.000795867,133088,36094,2025-05-24 02:00:00,23.6,23.6,30,66052010,1,158
